N,nominal_load,actual_load,P,condition,n_reps,cost_cum_mean,cost_cum_sem,cost_int_mean,cost_int_sem,randers_write_mean,randers_write_sem,randers_erase_mean,randers_erase_sem,randers_asymmetry_mean,randers_asymmetry_sem
64,0.05,0.046875,3,correlated,120,1.0057737791582881,0.00090563960307109,1.0019389639899472,0.0003060269773740864,1.0062009911025644,0.0008832324902157382,0.9976769368773297,0.00034851183760927835,0.008524054225234771,0.0011952030044850546
64,0.05,0.046875,3,uncorrelated,120,1.0017753840358277,0.000367423835035521,1.0005939150720278,0.00012340245577323303,1.0007966888533228,0.00043359392627942466,1.0003911412907327,0.00023818055410582614,0.0004055475625901001,0.000654640874188033
64,0.1,0.09375,6,correlated,120,1.0098248068419475,0.0011167435090096924,1.0016543641782987,0.00018992723252074382,1.00723224772678,0.0007548590357701061,0.9960764806298169,0.00042596288575735467,0.01115576709696331,0.0011654285363080226
64,0.1,0.09375,6,uncorrelated,120,1.0033968432767666,0.0005216773623135879,1.0005691771164666,8.809729953863509e-05,1.0007111136907614,0.0003882621920926602,1.0004272405421717,0.00025491650865240784,0.00028387314858971483,0.0006327838301033471
64,0.15,0.15625,10,correlated,120,1.0179501902453696,0.001747608598113958,1.0018256915673416,0.00018072947052220453,1.0090789128338464,0.0008257219525718596,0.9945724703008368,0.0005090216201655988,0.014506442533009664,0.0013233242004320957
64,0.15,0.15625,10,uncorrelated,120,1.0049391734178057,0.00039724282887773263,1.000495857712452,4.0038782093247815e-05,1.0006894630751186,0.0003239199028295442,1.0003022523497858,0.0002583230713457917,0.00038721072533302127,0.0005804286424627979
64,0.2,0.203125,13,correlated,120,1.02120590044264,0.0017326803379353873,1.0016597493547374,0.00013798684153028962,1.0092062612045571,0.0007169009554984321,0.9941132375049179,0.00048603179292680277,0.01509302369963935,0.0011933927659066792
64,0.2,0.203125,13,uncorrelated,120,1.0072778964908258,0.0006994134326788376,1.0005637770910247,5.474706040885632e-05,1.0009183187734743,0.00036106859098078816,1.0002092354085756,0.00027574189803400727,0.0007090833648985718,0.0006331028991837371
64,0.25,0.25,16,correlated,120,1.0263692260563027,0.0022775280640854613,1.0016863507695506,0.00014910810282776457,1.0099069816891115,0.0008535621485111966,0.9934657198499899,0.0005895300219904725,0.016441261839121746,0.001436417443183803
64,0.25,0.25,16,uncorrelated,120,1.0092102912861025,0.0007154084868188314,1.0005799064226628,4.543878200735343e-05,1.0012670859608865,0.00037422002042452674,0.9998927268844395,0.00030115850887923296,0.0013743590764470025,0.0006732127529039726
64,0.3,0.296875,19,correlated,120,1.028556308628004,0.002335134535388891,1.0015393110888213,0.00012985905980169728,1.009761519637358,0.0008024476092696675,0.9933171025402847,0.0005674190242748025,0.016444417097073435,0.0013654008670763414
64,0.3,0.296875,19,uncorrelated,120,1.0093794336112114,0.0007803041914295785,1.000497648311763,4.1828023400968724e-05,1.000562683138782,0.0003721560066646304,1.0004326134847439,0.00030271353684342407,0.00013006965403785837,0.0006732553922569882
64,0.35,0.34375,22,correlated,120,1.038880864819754,0.0029654491977432265,1.0018225836029642,0.00014250527821707329,1.011889127694773,0.0009179068882214527,0.9917560395111551,0.0006587749896643454,0.020133088183617875,0.0015722099311556317
64,0.35,0.34375,22,uncorrelated,120,1.011477444872616,0.0007807192688540882,1.0005261281249356,3.6182088733058546e-05,1.0008482509428027,0.00037592979700952907,1.0002040053070682,0.00031646652854062343,0.0006442456357346638,0.0006911671127535005
64,0.4,0.40625,26,correlated,120,1.038094995464111,0.002520543728633581,1.001505888568712,0.0001018217489658253,1.0105215840624713,0.0007716143652979616,0.9924901930749528,0.0005851799999575917,0.01803139098751876,0.0013543182963835529
64,0.4,0.40625,26,uncorrelated,120,1.014888192909063,0.001153154171844683,1.0005796366779023,4.563489622275301e-05,1.0008696294919197,0.0003651287841040449,1.000289643863885,0.0002924135612085147,0.0005799856280343741,0.0006552245908899043
64,0.45,0.453125,29,correlated,120,1.0497326092189903,0.0037126021273651394,1.0017831197133062,0.0001379023384737349,1.0125769808240135,0.0009255088357879538,0.990989258602599,0.0006703474958034799,0.021587722221414442,0.0015924184502438556
64,0.45,0.453125,29,uncorrelated,120,1.0131338445634979,0.0008860592782237504,1.000457313239441,3.1301388399226346e-05,1.000251806972663,0.0003337108833720115,1.000662819506219,0.0002820218896474892,-0.0004110125335563967,0.0006147190351531835
64,0.5,0.5,32,correlated,120,1.0497864800379328,0.0034286038098012726,1.0016143155501986,0.00011567026254301705,1.0121088612339841,0.0008644841518130848,0.9911197698664133,0.0006547267273136079,0.020989091367571166,0.0015160743497079786
64,0.5,0.5,32,uncorrelated,120,1.0145202403412505,0.000724531736855861,1.0004578913800826,2.308343997963012e-05,1.0000568320833834,0.0002831049989961531,1.000858950676782,0.00024806396491284545,-0.0008021185933985866,0.0005303177929172411
64,0.55,0.546875,35,correlated,120,1.0646312816203083,0.003914825629743661,1.0019295956130518,0.00012154796249854191,1.0149762476212782,0.0008972171898092613,0.9888829436048252,0.000675910404585758,0.02609330401645306,0.0015699081160000525
64,0.55,0.546875,35,uncorrelated,120,1.0185492145711537,0.0009946492257366512,1.0005363802950955,2.9162523643232575e-05,1.000968185998906,0.0003246625319537834,1.0001045745912853,0.0002783727479307339,0.0008636114076206014,0.0006019904332706046
