N,nominal_load,actual_load,P,deltaF_cum_mean,deltaF_cum_sem,deltaF_int_mean,deltaF_int_sem,delta_randers_asymmetry_mean,delta_randers_asymmetry_sem,corr_cost_int_mean,uncorr_cost_int_mean,corr_cost_cum_mean,uncorr_cost_cum_mean,corr_randers_asymmetry_mean,uncorr_randers_asymmetry_mean
64,0.05,0.046875,3,0.003998395122460474,0.0009773348275810964,0.0013450489179194225,0.0003299707213853743,0.008118506662644671,0.001362741683551132,1.0019389639899472,1.0005939150720278,1.0057737791582881,1.0017753840358277,0.008524054225234771,0.0004055475625901001
64,0.1,0.09375,6,0.006427963565180939,0.0012325840073868163,0.001085187061832027,0.00020936448562014685,0.010871893948373594,0.0013261368891940685,1.0016543641782987,1.0005691771164666,1.0098248068419475,1.0033968432767666,0.01115576709696331,0.00028387314858971483
64,0.15,0.15625,10,0.013011016827563893,0.001792187958138492,0.001329833854889495,0.00018511144099365382,0.014119231807676642,0.0014450205356466225,1.0018256915673416,1.000495857712452,1.0179501902453696,1.0049391734178057,0.014506442533009664,0.00038721072533302127
64,0.2,0.203125,13,0.01392800395181415,0.0018685182105827823,0.001095972263712719,0.0001484506957171849,0.014383940334740778,0.0013509276718881907,1.0016597493547374,1.0005637770910247,1.02120590044264,1.0072778964908258,0.01509302369963935,0.0007090833648985718
64,0.25,0.25,16,0.01715893477020014,0.002387245983494219,0.0011064443468877805,0.00015587786641857465,0.015066902762674745,0.001586351310950774,1.0016863507695506,1.0005799064226628,1.0263692260563027,1.0092102912861025,0.016441261839121746,0.0013743590764470025
64,0.3,0.296875,19,0.01917687501679266,0.0024620576616985355,0.0010416627770584164,0.00013642931852872673,0.016314347443035577,0.0015223640665149502,1.0015393110888213,1.000497648311763,1.028556308628004,1.0093794336112114,0.016444417097073435,0.00013006965403785837
64,0.35,0.34375,22,0.02740341994713802,0.0030664982506363844,0.0012964554780285908,0.00014702686103162368,0.01948884254788321,0.0017174271586813824,1.0018225836029642,1.0005261281249356,1.038880864819754,1.011477444872616,0.020133088183617875,0.0006442456357346638
64,0.4,0.40625,26,0.023206802555048034,0.002771805410196912,0.0009262518908097483,0.00011158051942754606,0.017451405359484386,0.0015044923769916853,1.001505888568712,1.0005796366779023,1.038094995464111,1.014888192909063,0.01803139098751876,0.0005799856280343741
64,0.45,0.453125,29,0.03659876465549239,0.003816872489439823,0.0013258064738652653,0.00014141015477059547,0.02199873475497084,0.0017069493293172776,1.0017831197133062,1.000457313239441,1.0497326092189903,1.0131338445634979,0.021587722221414442,-0.0004110125335563967
64,0.5,0.5,32,0.0352662396966823,0.003504321663645501,0.0011564241701160771,0.00011795106967748822,0.021791209960969754,0.0016061501783230247,1.0016143155501986,1.0004578913800826,1.0497864800379328,1.0145202403412505,0.020989091367571166,-0.0008021185933985866
