generator,corr,lambda_interference,randers_mode,reference_load,n_points,prefactor_a,decay_beta,loglog_r2
biased,0.15,0.5,mean,0.1,3,0.00030963099293234396,0.9283948811866004,0.9998386811886512
biased,0.15,0.5,mean,0.3,3,0.002376680680877238,1.2674389339877643,0.9970600456212058
biased,0.15,0.5,mean,0.6,4,0.001771132417277129,1.234047823506166,0.922740406527924
biased,0.15,0.5,pc1,0.1,3,0.0021508348284132155,1.243029783127311,0.9778616699465299
biased,0.15,0.5,pc1,0.3,4,0.008101727971571954,1.4627018963442846,0.9911889405322984
biased,0.15,0.5,pc1,0.6,4,0.0002438293609551804,0.9071677995655263,0.8173475540689615
biased,0.15,0.5,random-fixed,0.1,2,nan,nan,nan
biased,0.15,0.5,random-fixed,0.3,4,0.010509415885600204,1.5078857982494833,0.9562529659227837
biased,0.15,0.5,random-fixed,0.6,4,0.002007594765326055,1.242078012467693,0.9803773591825916
biased,0.15,1.0,mean,0.1,4,0.0025799355614695534,1.2069755661434367,0.7564899984598181
biased,0.15,1.0,mean,0.3,4,4.833364331174976e-05,0.5648014810475865,0.09029306311363261
biased,0.15,1.0,mean,0.6,4,9.192662035779507e-06,0.13611256727038362,0.017565078126243416
biased,0.15,1.0,pc1,0.1,3,0.026342288077871045,1.5549819418567419,0.9901178457898469
biased,0.15,1.0,pc1,0.3,4,0.0006374938457593823,0.889379466826242,0.7944348624102315
biased,0.15,1.0,pc1,0.6,4,0.051402893791256725,1.6911497836811284,0.8780413019461533
biased,0.15,1.0,random-fixed,0.1,3,0.7014697919996058,2.1639879651593463,0.964537346746712
biased,0.15,1.0,random-fixed,0.3,4,0.002251570659333374,1.1246457088283803,0.9396295396547496
biased,0.15,1.0,random-fixed,0.6,4,5.137165353469229e-06,0.0835466600387718,0.054134049933682205
biased,0.15,2.0,mean,0.1,2,nan,nan,nan
biased,0.15,2.0,mean,0.3,4,0.09547927665826927,1.739931910362956,0.7854265188281171
biased,0.15,2.0,mean,0.6,4,0.053028422476806676,1.571019837100816,0.8299272499071554
biased,0.15,2.0,pc1,0.1,4,0.30808286035912424,1.8238005922898444,0.9154913723599094
biased,0.15,2.0,pc1,0.3,4,0.005598918929449897,1.2050090150610067,0.9352682252799787
biased,0.15,2.0,pc1,0.6,4,0.01014631927144756,1.2745519885428258,0.9721657651154562
biased,0.15,2.0,random-fixed,0.1,4,0.07826044168756263,1.5940376481683536,0.9547437913189555
biased,0.15,2.0,random-fixed,0.3,4,0.0009898406393007077,0.9203154664030949,0.8776666112532552
biased,0.15,2.0,random-fixed,0.6,4,0.0328062718907084,1.4646347829572217,0.9800568632544758
biased,0.15,4.0,mean,0.1,3,0.006552627897657382,1.0559348634402177,0.9878770066512657
biased,0.15,4.0,mean,0.3,3,0.0005718241061369897,0.6781753604400179,0.9992536344515137
biased,0.15,4.0,mean,0.6,4,0.004292224347484809,1.0004393494604296,0.9782740831609902
biased,0.15,4.0,pc1,0.1,3,0.004352206180592996,1.0624298027778158,0.6457816183796568
biased,0.15,4.0,pc1,0.3,4,0.10999035438063835,1.5352102551134845,0.9916909049626138
biased,0.15,4.0,pc1,0.6,4,0.003922125185358666,1.062228714645863,0.8719269226404314
biased,0.15,4.0,random-fixed,0.1,3,0.006692233997664387,1.0379016865302997,0.9403427730060274
biased,0.15,4.0,random-fixed,0.3,4,5.611401949208876e-05,0.2764798981113322,0.17443557360015005
biased,0.15,4.0,random-fixed,0.6,4,0.000463117315380088,0.630932829880485,0.8784785650569964
biased,0.25,0.5,mean,0.1,4,0.002630450617174548,0.8980801490605093,0.9944289616045604
biased,0.25,0.5,mean,0.3,4,0.0015010350215252243,0.7785391205137557,0.9439915682825512
biased,0.25,0.5,mean,0.6,4,0.001353489549539724,0.7649974121381125,0.9796507725449786
biased,0.25,0.5,pc1,0.1,4,0.005006072578635994,0.9844357976724173,0.9789978480057514
biased,0.25,0.5,pc1,0.3,4,0.0031292631766110116,0.922274928471376,0.9744283039300243
biased,0.25,0.5,pc1,0.6,4,0.0004404011467795307,0.5654820471625225,0.9129798554319672
biased,0.25,0.5,random-fixed,0.1,4,0.00047734326557059945,0.5909221969831313,0.8756653171015829
biased,0.25,0.5,random-fixed,0.3,4,0.0011183040555596152,0.7350752576113876,0.9276212832169383
biased,0.25,0.5,random-fixed,0.6,4,0.0015849933431500043,0.7886417668812287,0.8975670187869712
biased,0.25,1.0,mean,0.1,4,0.05818562008883553,1.2882006905798196,0.9471943427453974
biased,0.25,1.0,mean,0.3,4,0.006285219873190364,0.9204672448004974,0.9231571565361971
biased,0.25,1.0,mean,0.6,4,0.0020895391976321837,0.7253886424320507,0.9491179911287885
biased,0.25,1.0,pc1,0.1,4,0.005577827420532894,0.8860730861900106,0.9905933072454142
biased,0.25,1.0,pc1,0.3,4,0.005808369922522186,0.920226314785584,0.9878389576596646
biased,0.25,1.0,pc1,0.6,4,0.00510011811214605,0.8701144777094604,0.9963096033478676
biased,0.25,1.0,random-fixed,0.1,4,7.34376125763664e-05,0.14928528173450215,0.120547392580027
biased,0.25,1.0,random-fixed,0.3,4,0.015313848282811704,1.0628166624422175,0.9962161644568006
biased,0.25,1.0,random-fixed,0.6,4,0.0037722317698317648,0.8149224648788576,0.9732858881362504
biased,0.25,2.0,mean,0.1,4,0.0012374374941736318,0.5078429880990554,0.7799095415218135
biased,0.25,2.0,mean,0.3,4,0.0013694080543808756,0.5177978688938392,0.9744941513409902
biased,0.25,2.0,mean,0.6,4,0.0046868965148322145,0.7406324128130168,0.9969743718248288
biased,0.25,2.0,pc1,0.1,4,0.0022550246339264703,0.6267534664734701,0.9328928196327241
biased,0.25,2.0,pc1,0.3,4,0.0015449611020954882,0.5583775080134349,0.9031471566349364
biased,0.25,2.0,pc1,0.6,4,0.0010834258946135799,0.48838454258143876,0.9062230538803951
biased,0.25,2.0,random-fixed,0.1,4,0.0011333142349618094,0.4896666972768549,0.7064306212355745
biased,0.25,2.0,random-fixed,0.3,4,2.3946438994007647e-05,-0.16256232266399087,0.04703988513612989
biased,0.25,2.0,random-fixed,0.6,4,0.004775977653447031,0.7418905153677043,0.9966713885738626
biased,0.25,4.0,mean,0.1,4,0.004995918676193613,0.6489352234031781,0.9329817425754612
biased,0.25,4.0,mean,0.3,4,0.03516190706253062,0.9697496152552926,0.992352192316089
