N,nominal_load,actual_load,P,generator,corr,condition,rep,mean_pair_overlap_abs,mean_q2,mean_cost_int,mean_cost_cum
128,0.05,0.046875,6,latent,0.15,correlated,0,0.08333333333333333,0.00019074725649451303,1.0001907212263896,1.0009530863356082
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.058333333333333334,4.0978206956413906e-05,1.0000409773387329,1.0002048693329948
128,0.05,0.046875,6,latent,0.15,correlated,1,0.09479166666666666,0.0003044666245582491,1.0003044038151447,1.0015207660902086
128,0.05,0.046875,6,latent,0.15,uncorrelated,1,0.07291666666666667,6.306575113150227e-05,1.0000630634198646,1.0003152704933067
128,0.05,0.046875,6,latent,0.15,correlated,2,0.09270833333333334,0.00014656005874511747,1.0001465471454447,1.0007324777099562
128,0.05,0.046875,6,latent,0.15,uncorrelated,2,0.08854166666666667,0.00012854127270754543,1.0001285308158507,1.0006424451296874
128,0.05,0.046875,6,latent,0.15,correlated,3,0.059375,6.4942708010416e-05,1.0000649396862418,1.0003246380296218
128,0.05,0.046875,6,latent,0.15,uncorrelated,3,0.103125,0.00024188524939549883,1.0002418465878378,1.0012084610722851
128,0.05,0.046875,6,latent,0.15,correlated,4,0.07291666666666667,9.697206894413787e-05,1.0000969658520598,1.0004847050177217
128,0.05,0.046875,6,latent,0.15,uncorrelated,4,0.0625,3.8071951143902275e-05,1.0000380711220573,1.0001903390325568
128,0.05,0.046875,6,latent,0.15,correlated,5,0.06770833333333333,0.00017247417307334614,1.0001724559523992,1.0008619157694538
128,0.05,0.046875,6,latent,0.15,uncorrelated,5,0.065625,0.00011478499519499039,1.0001147747370072,1.0005736687406326
128,0.05,0.046875,6,latent,0.15,correlated,6,0.071875,0.00016704916222332443,1.000167023995304,1.000834617549442
128,0.05,0.046875,6,latent,0.15,uncorrelated,6,0.07916666666666666,0.0001469596689193379,1.0001469441332371,1.000734410299404
128,0.05,0.046875,6,latent,0.15,correlated,7,0.06458333333333334,4.0396955793911584e-05,1.000040396073595,1.0002019627281313
128,0.05,0.046875,6,latent,0.15,uncorrelated,7,0.08333333333333333,3.923445346890693e-05,1.0000392335987978,1.0001961509046773
128,0.05,0.046875,6,latent,0.15,correlated,8,0.0875,0.00020895979291958586,1.0002089278985677,1.0010440026913732
128,0.05,0.046875,6,latent,0.15,uncorrelated,8,0.07604166666666666,0.00013822879208258415,1.0001382072071578,1.000690605097717
128,0.05,0.046875,6,latent,0.15,correlated,9,0.096875,0.00021916801646103292,1.0002191224477643,1.0010947031274786
128,0.05,0.046875,6,latent,0.15,uncorrelated,9,0.08333333333333333,0.000147250294500589,1.0001472269087153,1.000735667676073
128,0.05,0.046875,6,latent,0.15,correlated,10,0.06770833333333333,5.8548945222890446e-05,1.0000585465304173,1.0002926843788176
128,0.05,0.046875,6,latent,0.15,uncorrelated,10,0.059375,5.0605179335358664e-05,1.000050603755185,1.0002529903014814
128,0.05,0.046875,6,latent,0.15,correlated,11,0.07083333333333333,0.00013688464876929757,1.000136863823842,1.0006839033394268
128,0.05,0.046875,6,latent,0.15,uncorrelated,11,0.08229166666666667,0.0001250053281356563,1.0001249948591606,1.0006247651333753
128,0.05,0.046875,6,latent,0.15,correlated,12,0.06354166666666666,7.67614816479633e-05,1.0000767569669902,1.0003836946060902
128,0.05,0.046875,6,latent,0.15,uncorrelated,12,0.07916666666666666,0.0002614661479322959,1.0002613947121335,1.0013055493022172
128,0.05,0.046875,6,latent,0.15,correlated,13,0.06354166666666666,9.715370993241988e-05,1.000097146050025,1.000485577199354
128,0.05,0.046875,6,latent,0.15,uncorrelated,13,0.075,0.00024247860995721995,1.0002424081858379,1.0012106369592995
