N,load,actual_load,P,generator,corr,lambda_interference,randers_alpha,randers_mode,rep,cost_uncorr_int,cost_corr_int,deltaF_int,cost_uncorr_cum,cost_corr_cum,deltaF_cum,randers_uncorr_asym,randers_corr_asym,delta_randers_asym,mean_pair_overlap_uncorr,mean_pair_overlap_corr
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,0,1.0001110432699019,1.000360968539023,0.00024992526912104296,1.0006660747834282,1.0021638609818249,0.001497786198396689,0.003399821271236772,0.012158290598367903,0.00875846932713113,0.10833333333333334,0.10416666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,1,1.000049208287886,1.0001208430254946,7.163473760862793e-05,1.0002952134162046,1.0007248392661,0.0004296258498952543,0.0014609311631297096,0.004249075016347987,0.002788143853218277,0.0875,0.11041666666666666
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,2,1.001004804233,1.0004764804772561,-0.0005283237557438536,1.0060137715684039,1.0028554870612956,-0.003158284507108311,0.00961620064156399,0.006667825328664745,-0.0029483753128992443,0.09791666666666667,0.075
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,3,1.0000388747482818,1.0002029275840656,0.00016405283578380114,1.000233225826288,1.001216948561309,0.0009837227350208977,-0.0029257503683337086,0.0016060401860990483,0.004531790554432757,0.1,0.07708333333333334
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,4,1.0000499873996385,1.0000427703412273,-7.2170584111130864e-06,1.0002998869279687,1.0002565946148747,-4.329231309396775e-05,-0.004546236795251906,-0.003366381029635039,0.0011798557656168673,0.08541666666666667,0.14791666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,5,1.0000185764131848,1.000201615596147,0.0001830391829622524,1.0001114533034414,1.0012090845806696,0.0010976312772281727,-0.0018222357403119838,0.0010709187314894358,0.0028931544718014193,0.11041666666666666,0.13958333333333334
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,6,1.0001187928753639,1.000029689290103,-8.910358526081907e-05,1.0007125457267207,1.0001781225211668,-0.0005344232055539688,0.0001237108458371213,-0.003471648253754424,-0.0035953590995915453,0.07708333333333334,0.07083333333333333
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,7,1.0003130464358971,1.0000887371920226,-0.0002243092438745098,1.001876811399085,1.0005323051006456,-0.0013445062984394074,0.006131083244493861,-0.004837753296275689,-0.01096883654076955,0.11458333333333333,0.10416666666666667
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,8,1.0000342820297388,1.0003123495192578,0.0002780674895190849,1.0002056745531962,1.0018726364186386,0.0016669618654423513,-0.003945916978582853,0.009063402081804988,0.01300931906038784,0.08333333333333333,0.09583333333333334
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,9,1.0000374395260028,1.0000330108271291,-4.428698873626402e-06,1.0002246161349695,1.000198048620294,-2.656751467555729e-05,-0.0022680331309260964,-0.005084461780708059,-0.0028164286497819628,0.11875,0.13958333333333334
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,10,1.0000355532307321,1.0007747085086218,0.0007391552778897026,1.000213300427956,1.0046392900653986,0.004425989637442562,0.0018480756192424143,0.02123136098055687,0.019383285361314454,0.08125,0.11041666666666666
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,11,1.0000473220148136,1.0000912794539596,4.3957439145980715e-05,1.0002838985078224,1.0005475518130822,0.00026365330525979225,-0.0046355253465055314,-0.005126894452684973,-0.0004913691061794413,0.1,0.1
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,12,1.0000617560138578,1.0000243584051476,-3.7397608710243446e-05,1.0003704788972583,1.0001461415322102,-0.00022433736504812174,-0.0063583117077450875,-0.0036817826421374307,0.002676529065607657,0.14166666666666666,0.0875
64,0.1,0.09375,6,latent,0.15,0.5,0.15,mean,13,1.000135932001167,1.0000460508287798,-8.988117238706295e-05,1.000815315070199,1.000276273171286,-0.000539041898913073,0.004811545160408071,-0.0044365656528231896,-0.00924811081323126,0.08541666666666667,0.10625
