N,nominal_load,actual_load,P,generator,corr,condition,rep,cue_noise,cue_id,target_index,cost_int,cost_cum,initial_overlap,final_overlap,retrieval_error,success,iterations
128,0.05,0.046875,6,latent,0.15,correlated,0,0.05,0,3,1.0001650859222682,1.0008251573024587,0.921875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.05,1,1,1.0001941432612713,1.0009703397557503,0.953125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.05,2,1,1.0001941432612713,1.0009703397557503,0.890625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.05,3,5,1.0000310480176073,1.0001552304497388,0.875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.05,4,3,1.0001650859222682,1.0008251573024587,0.875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.05,5,5,1.0000310480176073,1.0001552304497388,0.9375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.05,6,2,1.000353362493074,1.0017655660163203,0.890625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.05,7,1,1.0001941432612713,1.0009703397557503,0.875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.05,8,5,1.0000310480176073,1.0001552304497388,0.90625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.05,9,5,1.0000310480176073,1.0001552304497388,0.90625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.05,10,5,1.0000310480176073,1.0001552304497388,0.875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.05,11,4,1.0000566219477247,1.000283077687247,0.90625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.1,0,3,1.0001650859222682,1.0008251573024587,0.71875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.1,1,4,1.0000566219477247,1.000283077687247,0.921875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.1,2,0,1.0003440657163913,1.0017191468021354,0.890625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.1,3,3,1.0001650859222682,1.0008251573024587,0.796875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.1,4,5,1.0000310480176073,1.0001552304497388,0.75,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.1,5,0,1.0003440657163913,1.0017191468021354,0.78125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.1,6,5,1.0000310480176073,1.0001552304497388,0.796875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,0,0.1,7,1,1.0001941432612713,1.0009703397557503,0.828125,1.0,0.0,1,2
